system   D            wsystem.c:583  maybe_parent_dir                 [   0.00021] Also searching F:\University\C++\Level5\Space-Invaders\
display  D   display_settings.c:377  _al_score_display_settings       [   0.19026] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19026] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19026] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19027] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19027] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19027] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19028] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19028] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19029] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19029] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19029] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19030] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19030] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19030] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19031] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19031] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19032] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19032] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19033] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19033] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19033] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19034] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19034] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19035] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19035] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19035] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19036] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19036] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19037] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19037] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19038] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19038] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19039] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19039] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19039] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19040] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19040] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19040] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19041] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19041] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19042] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19042] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19042] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19043] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19043] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19043] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19044] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19044] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19044] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19045] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19045] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19046] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19046] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19046] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19047] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19047] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19047] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19048] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19048] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19049] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19049] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19049] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19050] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19050] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19050] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19051] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19051] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19051] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19052] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19052] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19053] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19053] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19053] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19054] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19054] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19054] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19055] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19055] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19055] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.19056] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.19056] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19057] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.19057] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19057] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.19058] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.19058] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.19058] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19059] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19059] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19059] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19061] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
